objectid,filename,title,format,description,creator,date,date-is-approximate?,item_information,subject,location
tree0001,tree0001.jpg,Trident Maple,image/jpeg,Photograph of Trident Maple in front yard.,"Buddendeck, Karen",2024-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0002,tree0002.jpg,Black Dragon Cryptomeria,image/jpeg,Photograph of Black Dragon Cryptomeria in side yard.,"Buddendeck, Karen",2024-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0003,tree0003.jpg,Arizona Cypress,image/jpeg,Photograph of Arizone Cypress in backyard.,"Buddendeck, Karen",2024-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0004,tree0004.jpg,Emerald Arborvitae,image/jpeg,Photograph of Emerald Arborvitae in backyard.,"Buddendeck, Karen",2024-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0005,tree0005.jpg,Blue Steel Cypress,image/jpeg,Photograph of Blue Steel Cypress in backyard.,"Buddendeck, Karen",2022-02,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0006,tree0006.jpg,River Birch,image/jpeg,Photograph of River Birch in backyard.,"Buddendeck, Karen",2022-02,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0007,tree0007.jpg,Bald Cypress,image/jpeg,Photograph of Bald Cypress in backyard.,"Buddendeck, Karen",2023-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0008,tree0008.jpg,Kay Parris Magnolia,image/jpeg,Photograph of Kay Parris Magnolia in backyard.,"Buddendeck, Karen",2023-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0009,tree0009.jpg,Acadiana Holly,image/jpeg,Photograph of Acadiana Holly in backyard.,"Buddendeck, Karen",2025-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
tree0010,tree0010.jpg,Forest Pansy Redbud,image/jpeg,Photograph of Forest Pansy Redbud in backyard.,"Buddendeck, Karen",2025-03,yes,photograph,Trees; Landscape gardening,"Apex, NC"
